Date,Country,Confirmed,Deaths,Recovered,Active,Tests,Vaccination Rate (%),Hospitalized,ICU,New Cases,New Deaths,Stringency Index,Population,Positivity Rate (%),Reproduction Rate (R),Healthcare Pressure Index,Mobility Index,Stringent Lockdown,Mask Mandate,School Closures,International Travel,People Vaccinated,People Fully Vaccinated,Booster Doses Given,Vaccine Type,Hospital Beds per 1000,ICU Beds per 1000,Doctors per 1000,GDP Impact (%),Unemployment Rate (%),Stimulus Package Amount (Billion USD),Lockdown Level,Vaccination Mandate,Testing Mandate,Dominant Variant,Wave Number,Cases Age 0-17,Cases Age 18-44,Cases Age 45-60,Cases Age 60+,New Recoveries,Tests Per Million,Deaths Per Million
2020-02-10,USA,10102,116,8997,989,13839,1.77,153,13,831,24,84.11,138481431,6.0,1.4,24.43,49.44,Yes,Yes,Closed,Restricted,3566820,3431119,276527,Sputnik,5.74,0.51,1.84,-2.29,18.93,376.18,High,Yes,Yes,Delta,4,10941,56068,4670,89780,25497,15246,7.51
2020-02-11,USA,10632,119,9474,1039,14565,1.86,986,14,838,36,84.08,43995852,5.75,0.84,91.9,33.18,No,Yes,Open,Banned,4680466,3847360,575804,Sputnik,4.0,2.49,1.71,-0.85,10.73,473.95,Full,Yes,Yes,None,4,54436,155225,131327,58199,16684,17117,4.12
2020-02-12,USA,11104,121,9930,1053,15212,1.96,750,28,925,22,54.45,153113970,6.08,0.76,78.65,40.93,No,Yes,Open,Allowed,2064616,1373844,6272,Sinovac,5.63,2.7,3.3,-11.67,5.52,338.36,High,Yes,Yes,Beta,1,11603,135871,125612,103442,3076,12240,0.53
2020-02-13,USA,11581,130,10371,1080,15865,2.05,934,61,703,20,95.9,321969624,4.43,0.77,63.34,29.6,No,Yes,Partial,Allowed,4666233,4205883,464389,Sputnik,5.83,1.32,2.82,-2.14,6.22,73.01,Full,No,Yes,Omicron,4,56142,179579,148590,36711,10939,7946,2.46
2020-02-14,USA,12091,139,10822,1130,16564,2.14,191,44,274,37,84.05,227017024,1.65,0.65,77.51,11.71,No,Yes,Partial,Allowed,1251897,1028982,565826,Pfizer,3.79,2.58,1.58,-8.85,5.42,258.77,Medium,Yes,No,Beta,4,32108,122095,31192,1644,10981,772,2.51
2020-02-15,USA,12630,146,11264,1220,17302,2.23,632,27,471,35,41.77,55154024,2.72,1.29,81.17,-18.01,No,Yes,Open,Banned,658915,-221658,550690,Moderna,4.04,1.84,1.63,-2.59,8.4,31.63,High,Yes,No,None,2,72838,124871,107915,73860,5652,18311,0.82
2020-02-16,USA,13111,155,11699,1257,17961,2.33,630,66,958,39,73.12,286722192,5.33,1.49,82.43,24.58,Yes,Yes,Closed,Allowed,2415789,1549243,535776,Pfizer,2.71,1.71,3.29,-3.82,7.46,224.77,Medium,Yes,No,Beta,3,38650,89904,111532,73102,8594,11235,7.09
2020-02-17,USA,13619,159,12091,1369,18657,2.42,948,78,466,20,40.78,214333713,2.5,0.84,91.19,21.46,No,Yes,Open,Restricted,3530089,3434979,213784,Pfizer,5.5,2.03,2.98,-5.56,6.63,63.66,High,No,Yes,None,3,5679,229743,9230,136097,18669,11994,7.11
2020-02-18,USA,14091,165,12546,1380,19304,2.51,168,22,999,45,54.3,315809335,5.18,1.91,91.94,45.38,No,No,Closed,Restricted,1308556,397797,715290,Moderna,4.94,1.24,3.75,-3.61,9.3,450.62,Low,No,Yes,Alpha,2,42326,76997,85810,85853,42706,762,9.98
2020-02-19,USA,14607,170,13026,1411,20011,2.61,487,10,100,23,31.22,246213938,0.5,1.01,32.05,1.35,No,Yes,Partial,Banned,57989,-88881,169251,Sinovac,5.62,2.76,2.96,-1.02,5.51,27.49,Low,Yes,Yes,Beta,3,66840,137500,151984,14975,14999,10172,0.91
2020-02-20,USA,15112,172,13498,1442,20702,2.7,432,26,497,12,61.65,96809551,2.4,0.93,82.72,-49.22,No,Yes,Partial,Restricted,1571434,581499,140445,Covishield,2.09,2.34,2.69,-0.67,13.36,482.44,Low,No,No,Alpha,2,10168,53942,38809,143342,17805,5160,3.71
2020-02-21,USA,15611,178,13929,1504,21386,2.79,187,15,192,34,84.15,12225998,0.9,1.05,99.81,-5.54,No,No,Closed,Banned,2609382,2210945,988461,Sinovac,5.34,2.25,2.89,1.02,12.41,145.21,Low,No,No,Omicron,1,48115,198395,112099,135874,27747,19248,7.17
2020-02-22,USA,16128,184,14387,1557,22094,2.89,685,93,880,35,66.18,230447376,3.98,1.2,40.66,-18.64,Yes,No,Open,Restricted,544295,-191032,314558,Moderna,3.89,2.06,3.28,-11.97,8.6,92.12,Medium,No,Yes,Alpha,3,496,205945,29200,5859,27092,15974,4.5
2020-02-23,USA,16629,187,14819,1623,22781,2.98,812,96,889,7,73.45,15416016,3.9,1.79,18.24,-7.54,Yes,Yes,Open,Allowed,2868317,2222249,489377,Sputnik,4.96,2.92,3.45,-0.91,14.13,449.07,Medium,Yes,Yes,Alpha,2,28161,208987,140510,96211,46113,8047,0.16
2020-02-24,USA,17197,190,15276,1731,23559,3.07,533,20,124,26,98.26,131456290,0.53,1.42,21.3,30.41,No,Yes,Partial,Banned,4774835,4443573,470101,Sputnik,5.38,0.63,3.33,-0.31,7.93,454.75,High,Yes,Yes,Alpha,3,27082,59192,198543,10841,47597,18327,1.74
2020-02-25,USA,17681,195,15710,1776,24222,3.17,955,71,631,32,44.73,269197873,2.61,1.36,12.12,23.59,Yes,No,Open,Restricted,1518336,952572,949449,Pfizer,1.53,2.33,3.98,-6.04,12.96,316.73,High,No,Yes,Omicron,4,81446,90612,194536,34748,39336,7359,0.86
2020-02-26,USA,18159,200,16180,1779,24877,3.26,742,99,29,20,63.43,326122826,0.12,1.04,80.87,-35.77,No,No,Open,Banned,1498131,732236,712927,Sputnik,3.67,0.86,1.61,-0.88,14.02,307.29,Low,Yes,No,Omicron,4,14535,117250,1983,134529,29688,11237,6.71
2020-02-27,USA,18641,204,16597,1840,25537,3.35,410,14,587,23,98.73,336373124,2.3,1.62,29.38,3.19,No,No,Open,Banned,580042,-181584,827386,Sinovac,2.71,0.78,2.96,-7.75,9.24,353.34,Full,Yes,Yes,Delta,3,28383,201582,196788,6741,22798,9777,9.38
2020-02-28,USA,19171,208,17060,1903,26263,3.45,754,43,63,7,39.45,58939877,0.24,1.24,73.0,34.43,No,Yes,Closed,Restricted,1118563,580674,892686,Sinovac,2.64,1.65,2.42,-2.14,5.72,179.71,Full,Yes,No,Beta,1,84137,193673,49628,114961,14065,11116,4.52
2020-02-29,USA,19660,211,17535,1914,26933,3.54,445,35,787,12,97.79,338357281,2.92,0.75,36.1,-20.12,No,No,Open,Banned,615632,583231,137626,Sinovac,5.04,1.28,2.46,-11.21,18.72,192.71,Medium,Yes,Yes,Beta,4,87807,230136,185030,31059,33769,2742,5.49
2020-03-01,USA,20140,218,17980,1942,27591,3.63,283,13,540,2,98.22,271615096,1.96,1.83,27.36,-6.77,Yes,Yes,Closed,Banned,202053,-512601,470665,Moderna,3.41,2.78,2.68,-1.34,17.03,201.35,Medium,No,Yes,Omicron,3,99803,138749,83888,142079,22459,19063,4.11
2020-03-02,USA,20629,227,18414,1988,28261,3.72,424,64,991,41,62.38,279011498,3.51,0.66,34.25,-20.83,No,Yes,Partial,Banned,1772539,1210721,338138,Covishield,4.35,1.24,3.55,-6.17,15.86,423.16,Medium,No,No,None,1,75992,7271,159811,113659,27501,10614,4.82
2020-03-03,USA,21078,230,18924,1924,28876,3.82,366,87,714,18,93.58,189626035,2.47,1.11,29.72,42.01,Yes,No,Partial,Allowed,1958874,1067923,209916,Covishield,4.95,0.82,1.54,0.19,18.79,472.5,Medium,Yes,Yes,Alpha,4,20953,12220,41279,23724,47542,9892,1.55
2020-03-04,USA,21613,232,19390,1991,29609,3.91,357,26,101,32,31.41,254681049,0.34,1.52,49.38,44.12,Yes,Yes,Open,Restricted,4443043,4278648,826641,Pfizer,3.94,0.81,2.04,-0.2,8.36,139.49,High,Yes,Yes,None,1,99299,187428,101279,123861,33269,2883,0.38
2020-03-05,USA,22088,237,19834,2017,30259,4.0,616,53,531,25,63.57,132980235,1.75,1.28,22.98,-4.34,No,No,Closed,Restricted,1821919,1601569,462322,Sputnik,5.36,1.25,3.71,0.17,10.08,294.99,Low,No,Yes,Beta,2,28301,199013,41122,62360,21901,14130,7.0
2020-03-06,USA,22589,241,20278,2070,30946,4.1,638,71,157,49,42.83,87387145,0.51,0.64,24.15,-20.19,Yes,No,Partial,Restricted,1516297,978475,408526,Covishield,3.03,2.08,1.85,-10.31,9.61,106.12,Low,No,Yes,Beta,2,12914,234538,94225,29931,14854,8960,7.2
2020-03-07,USA,23104,248,20724,2132,31651,4.19,380,17,672,32,96.56,174854097,2.12,1.67,99.55,-29.89,Yes,No,Closed,Banned,1111065,644950,805690,Sinovac,1.65,1.18,1.89,1.68,12.0,147.89,Medium,No,No,Beta,2,14236,184030,63496,63015,20660,5963,4.92
2020-03-08,USA,23600,255,21208,2137,32331,4.28,319,24,851,19,66.82,327772750,2.63,0.95,28.44,49.15,Yes,Yes,Closed,Banned,4292091,3681181,781250,Sputnik,4.4,1.83,3.88,-5.45,8.16,405.42,Full,No,Yes,Alpha,4,29909,119272,75253,69132,5085,6692,7.16
2020-03-09,USA,24080,261,21654,2165,32988,4.38,693,22,174,15,44.24,275406949,0.53,1.72,84.02,-35.35,Yes,Yes,Closed,Banned,63699,-591987,810052,Pfizer,2.83,1.37,1.6,-0.73,12.84,259.68,High,Yes,Yes,Omicron,2,42803,282105,102243,21958,32302,4058,3.22
2020-03-10,USA,24596,265,22083,2248,33695,4.47,911,92,424,25,75.79,13245958,1.26,1.31,45.72,-24.04,Yes,Yes,Closed,Allowed,1621055,1383749,295650,Sputnik,5.76,2.57,3.59,-9.81,15.93,389.32,Full,No,No,Beta,4,44648,288977,4622,1552,33757,16123,7.6
2020-03-11,USA,25108,271,22542,2295,34397,4.56,481,50,554,18,71.13,249479660,1.61,1.33,83.32,-35.68,No,Yes,Open,Banned,4693924,3746125,219418,Covishield,5.34,2.1,1.47,-11.49,17.12,180.66,Low,No,Yes,None,1,93763,107954,71151,136471,36872,2931,5.89
2020-03-12,USA,25583,274,22986,2323,35047,4.66,427,58,707,30,36.83,186567843,2.02,1.26,27.05,-37.57,No,Yes,Open,Allowed,1417360,855772,299731,Pfizer,2.43,2.17,3.14,-3.92,5.92,167.54,Full,No,Yes,Alpha,2,75592,7966,150075,31949,24874,11323,2.2
2020-03-13,USA,26115,279,23439,2397,35776,4.75,992,57,558,16,93.84,291162452,1.56,1.61,72.72,-22.23,Yes,Yes,Closed,Allowed,3448012,3438483,205791,Sinovac,4.9,1.79,3.67,-8.62,5.62,404.56,Low,No,Yes,Beta,1,85266,215207,32147,38606,20775,8068,1.39
2020-03-14,USA,26580,288,23900,2392,36413,4.84,511,58,552,24,38.09,254191351,1.52,1.2,83.3,11.33,No,No,Open,Allowed,1597977,757879,623127,Pfizer,4.2,2.82,2.01,-8.7,14.41,313.47,Low,Yes,Yes,Delta,1,45902,153521,84185,127516,11145,10070,9.34
2020-03-15,USA,27094,292,24348,2454,37117,4.93,316,43,176,34,85.53,158296530,0.47,0.97,95.99,49.33,No,No,Closed,Restricted,2279174,2154231,497649,Covishield,4.47,1.23,1.83,-2.38,7.64,456.31,Medium,No,No,None,1,87902,285485,192411,79095,15599,16014,8.63
2020-03-16,USA,27570,298,24775,2497,37770,5.03,388,28,798,9,42.7,282011518,2.11,0.87,54.48,10.87,Yes,Yes,Closed,Allowed,2970304,2197271,409370,Covishield,2.85,1.15,3.7,-1.3,18.54,158.31,Medium,Yes,Yes,Delta,3,32517,248461,154888,72437,12911,4394,4.28
2020-03-17,USA,28097,302,25238,2557,38492,5.12,340,42,826,9,38.25,348835817,2.15,1.78,18.42,24.49,Yes,No,Open,Banned,4214978,4125495,354153,Moderna,4.3,1.93,2.84,-1.19,11.53,416.18,Low,No,Yes,Alpha,3,10404,207050,193077,137316,20090,2179,8.81
2020-03-18,USA,28578,304,25709,2565,39151,5.21,136,78,589,11,34.21,307250415,1.5,1.72,73.51,25.41,Yes,No,Closed,Allowed,1198529,963641,136132,Pfizer,5.41,2.54,3.84,-4.4,8.68,132.25,High,Yes,No,Beta,2,35555,250382,196356,24935,38621,6737,4.13
2020-03-19,USA,29085,305,26167,2613,39845,5.31,760,16,406,41,43.46,111279812,1.02,0.95,15.79,-31.19,No,No,Partial,Banned,4366216,3658871,943264,Sputnik,4.54,1.0,3.25,-0.7,19.11,29.03,Full,Yes,Yes,Beta,1,32806,167248,17830,3604,3675,7574,0.53
2020-03-20,USA,29584,314,26609,2661,40529,5.4,478,24,959,30,78.3,12048053,2.37,1.64,54.19,-26.21,Yes,Yes,Closed,Banned,3058805,3011276,414897,Sputnik,3.63,2.11,2.72,-4.45,5.13,182.67,Full,No,Yes,Omicron,1,92132,221735,95773,59157,29794,7484,6.89
2020-03-21,USA,30064,320,27084,2660,41186,5.49,146,13,872,46,87.98,38364156,2.12,1.35,50.16,-14.78,Yes,No,Closed,Restricted,239163,-235774,716198,Sinovac,2.35,0.77,3.96,-3.29,17.74,70.57,High,Yes,No,None,1,16020,243916,6795,48395,5020,14949,6.72
2020-03-22,USA,30581,324,27509,2748,41895,5.59,656,10,503,41,70.72,226211936,1.2,1.12,68.29,-24.59,No,No,Open,Banned,2757653,2387226,447080,Covishield,4.38,2.72,2.93,-4.96,5.76,416.64,Medium,Yes,No,Beta,3,65831,143429,34064,116208,30337,12451,0.99
2020-03-23,USA,31111,331,27941,2839,42621,5.68,290,36,87,24,97.04,262187787,0.2,0.86,72.27,42.64,No,Yes,Open,Allowed,81548,-714285,181559,Pfizer,3.34,2.88,2.21,-3.53,19.5,258.33,Full,No,Yes,Alpha,3,54664,222348,73358,70958,18017,13599,9.27
2020-03-24,USA,31561,336,28413,2812,43237,5.77,551,64,846,13,90.7,104048262,1.96,1.88,97.88,-18.14,Yes,No,Partial,Allowed,712253,628266,521002,Pfizer,3.4,0.7,3.86,-8.17,4.66,448.1,Full,Yes,No,Alpha,3,45003,184983,188729,129412,7172,14022,6.02
2020-03-25,USA,32071,342,28917,2812,43936,5.87,633,68,21,30,72.26,208033030,0.05,1.03,33.05,46.57,Yes,No,Closed,Allowed,4113918,3674307,347645,Moderna,2.49,2.17,2.07,1.5,7.09,446.87,Low,Yes,Yes,Alpha,2,53747,248188,111565,40991,24578,4404,0.32
2020-03-26,USA,32598,347,29339,2912,44658,5.96,692,25,760,0,33.04,319254743,1.7,1.83,16.33,-37.03,No,Yes,Partial,Restricted,2270319,1550654,950243,Moderna,5.55,1.14,3.05,-9.31,5.0,67.83,Medium,No,Yes,None,2,28567,176806,57183,49358,2412,3902,9.17
2020-03-27,USA,33101,348,29812,2941,45347,6.05,767,47,684,19,73.18,122132587,1.51,1.26,93.65,3.8,No,No,Closed,Allowed,3993750,3275085,657442,Pfizer,2.63,0.8,3.24,-3.98,19.27,252.52,Full,No,Yes,Alpha,3,72932,170445,106585,65305,31718,7465,0.45
2020-03-28,USA,33638,351,30253,3034,46083,6.15,990,63,934,35,96.35,252379097,2.03,1.23,33.96,-10.52,No,No,Partial,Allowed,4457742,3783955,497797,Sinovac,3.62,2.51,3.57,-10.16,8.46,152.7,Medium,No,Yes,Beta,3,4780,93417,188972,51309,37844,2649,1.33
2020-03-29,USA,34124,352,30669,3103,46748,6.24,735,27,307,46,66.65,227995152,0.66,1.57,96.55,39.16,Yes,Yes,Partial,Restricted,4420794,3433310,149677,Covishield,2.53,1.77,1.68,-1.53,13.02,161.61,High,Yes,No,Delta,1,19834,103510,141682,28080,31577,11004,7.49
2020-03-30,USA,34601,356,31095,3150,47402,6.33,945,32,680,7,82.1,172601962,1.43,0.96,24.44,-44.77,No,Yes,Closed,Restricted,311690,-268055,784489,Sinovac,4.52,2.72,3.54,-9.76,7.47,150.76,Low,No,Yes,Beta,3,73960,211496,14570,121188,43854,9941,6.55
2020-03-31,USA,35102,359,31554,3189,48088,6.42,925,27,619,39,31.6,255080938,1.29,0.84,65.52,14.79,No,Yes,Open,Allowed,1941105,991663,817157,Moderna,4.62,2.7,2.4,-7.84,10.09,271.0,Medium,Yes,No,Alpha,3,87858,20700,84065,10496,26034,6267,4.33
2020-04-01,USA,35597,364,32020,3213,48766,6.52,416,73,589,32,75.2,82029577,1.21,1.58,68.9,26.85,No,Yes,Closed,Banned,2217725,1711753,520665,Moderna,5.75,1.56,1.19,-10.47,15.54,312.95,Medium,No,Yes,None,4,87905,213867,141605,17230,34544,3497,3.75
2020-04-02,USA,36116,368,32469,3279,49477,6.61,320,77,384,15,30.23,84255284,0.78,1.22,73.46,-13.23,No,No,Closed,Restricted,1976638,1956366,7328,Covishield,3.43,1.97,2.87,1.41,6.6,405.5,Medium,No,No,Alpha,2,15191,101265,154260,130375,25258,14010,5.25
2020-04-03,USA,36612,372,32897,3343,50157,6.7,747,70,848,27,89.55,257100557,1.69,0.94,82.46,-7.7,Yes,Yes,Open,Allowed,4786872,3849283,557623,Pfizer,2.15,1.76,2.97,-3.72,6.61,177.67,Medium,Yes,Yes,Beta,3,69470,17028,197475,56483,13747,16608,1.16
2020-04-04,USA,37090,375,33355,3360,50812,6.8,220,95,119,22,47.2,134926416,0.23,1.09,14.74,-47.93,Yes,Yes,Closed,Allowed,4681912,4632999,124551,Sputnik,2.19,1.77,1.92,-8.61,14.13,251.85,Low,Yes,No,Omicron,4,60882,271119,10441,60964,5894,18497,8.57
2020-04-05,USA,37599,377,33820,3402,51509,6.89,749,39,781,21,33.18,143638895,1.52,0.7,94.72,-38.19,Yes,No,Partial,Banned,910630,78926,368409,Moderna,5.47,2.15,3.7,-9.55,11.22,390.94,Low,No,No,Beta,3,42336,193989,104511,94913,25172,17483,0.85
2020-04-06,USA,38145,383,34281,3481,52257,6.98,663,74,311,30,71.96,290287666,0.6,1.85,30.64,0.88,Yes,No,Open,Restricted,4265414,4154675,549445,Sputnik,1.66,1.51,1.08,-8.07,18.79,403.65,Medium,Yes,No,Omicron,3,14288,67902,151879,116554,5379,19495,6.61
2020-04-07,USA,38634,389,34763,3482,52927,7.08,113,37,846,20,85.96,255737435,1.6,1.92,78.53,6.55,No,No,Open,Restricted,4677078,4415185,127710,Moderna,4.04,0.7,2.23,-5.04,8.1,182.61,Medium,No,No,Alpha,1,70847,277007,151693,65583,32099,2619,7.95
2020-04-08,USA,39117,394,35223,3500,53589,7.17,259,10,403,8,58.05,39989023,0.75,1.41,87.17,-37.96,Yes,No,Open,Allowed,4878021,3960287,649412,Covishield,1.52,2.42,1.97,-5.88,4.95,175.8,Medium,No,No,None,1,29060,39217,66068,89725,14427,10231,7.81
2020-04-09,USA,39600,402,35679,3519,54250,7.26,158,56,153,18,94.22,193605931,0.28,1.47,83.02,-23.25,Yes,No,Closed,Restricted,1440229,919860,39570,Covishield,2.82,0.7,2.76,-2.44,19.73,275.83,High,No,No,Omicron,2,15583,92625,28393,48538,5527,2169,3.39
2020-04-10,USA,40081,408,36126,3547,54909,7.36,498,51,483,5,75.31,52647430,0.88,1.7,22.71,-30.98,Yes,No,Partial,Restricted,3788889,3398448,792337,Moderna,5.96,1.71,3.53,-2.54,11.96,474.58,Medium,No,No,None,1,34971,156148,131793,8602,37577,5712,8.39
2020-04-11,USA,40593,410,36579,3604,55611,7.45,481,83,957,17,84.69,221333709,1.72,1.97,16.18,-11.12,No,No,Closed,Restricted,234152,-493286,25955,Sinovac,4.63,1.26,3.35,-8.22,18.26,249.39,Low,No,Yes,Alpha,4,9964,90983,173239,8966,8300,14079,9.07
2020-04-12,USA,41067,415,37005,3647,56260,7.54,721,69,29,23,81.79,193160920,0.05,1.71,50.08,44.74,Yes,Yes,Open,Restricted,1872365,1787939,303298,Pfizer,3.38,0.65,3.87,-7.57,5.32,104.99,Medium,No,No,None,2,53688,186523,119448,104380,20530,6118,0.97
2020-04-13,USA,41575,422,37405,3748,56956,7.64,975,61,440,1,86.06,272766201,0.77,1.44,65.03,29.68,Yes,Yes,Closed,Banned,2578128,1623495,415146,Covishield,2.68,1.62,1.68,-10.67,15.51,105.72,Medium,No,No,None,4,29360,34544,27832,123758,21922,1652,0.97
2020-04-14,USA,42028,426,37839,3763,57577,7.73,157,96,415,16,62.06,135542352,0.72,1.51,17.02,49.3,No,Yes,Partial,Banned,2925962,2163479,368555,Pfizer,3.77,1.26,2.68,-7.47,6.7,391.81,Full,Yes,Yes,Beta,3,14553,267584,168376,14644,29489,9209,0.33
2020-04-15,USA,42529,430,38271,3828,58263,7.82,932,90,683,21,98.22,175341838,1.17,0.66,97.4,37.16,No,No,Closed,Restricted,3096070,2608149,446791,Covishield,3.09,0.79,3.79,1.54,4.16,108.26,High,No,No,Delta,1,55994,297122,19266,29416,14267,16734,8.92
2020-04-16,USA,43029,434,38740,3855,58948,7.91,227,19,467,23,96.66,279481220,0.79,1.58,49.35,-38.03,Yes,No,Open,Allowed,4105080,3167911,349374,Sinovac,3.58,0.74,1.0,-7.12,12.96,263.66,Low,No,No,Beta,4,92231,62041,198189,89639,5456,7293,2.91
2020-04-17,USA,43516,438,39203,3875,59615,8.01,519,27,274,24,53.35,48460609,0.46,1.1,62.74,-49.43,Yes,Yes,Open,Allowed,3377120,2448397,44391,Covishield,4.37,1.45,2.43,-5.99,9.19,289.0,Medium,No,Yes,Alpha,4,26559,59903,74637,4721,32719,9633,4.06
